iter	Passed	Remaining
461	769	895
462	770	894
463	771	891
464	772	888
465	773	886
466	774	884
467	775	881
468	776	879
469	777	876
470	778	874
471	779	871
472	779	869
473	780	866
474	781	863
475	782	861
476	783	858
477	785	857
478	786	854
479	786	852
480	787	849
481	788	847
482	789	844
483	790	842
484	791	840
485	791	837
486	792	835
487	793	832
488	794	830
489	795	827
490	795	825
491	796	822
492	797	820
493	799	818
494	800	816
495	801	814
496	802	812
497	803	810
498	804	807
499	805	805
500	806	802
501	806	800
502	807	798
503	808	795
504	809	793
505	810	790
506	810	788
507	811	786
508	812	783
509	814	783
510	816	781
511	818	779
512	819	777
513	820	775
514	821	773
515	822	771
516	823	769
517	825	767
518	826	765
519	826	763
520	827	760
521	830	760
522	830	757
523	831	755
524	833	753
525	834	751
526	835	749
527	836	747
528	838	746
529	839	744
530	840	742
531	841	740
532	842	738
533	844	737
534	846	735
535	847	733
536	848	731
537	849	729
538	851	728
539	852	726
540	853	724
541	854	722
542	855	720
543	857	718
544	858	716
545	860	715
546	861	713
547	862	711
548	863	709
549	864	707
550	865	705
551	866	703
552	867	701
553	868	699
554	869	696
555	869	694
556	871	693
557	872	691
558	873	689
559	874	687
560	875	685
561	876	683
562	877	680
563	878	679
564	879	676
565	880	674
566	880	672
567	881	670
568	882	668
569	883	666
570	884	664
571	885	662
572	887	661
573	888	659
574	889	657
575	889	655
576	890	653
577	891	651
578	892	649
579	893	647
580	894	644
581	895	642
582	895	640
583	896	638
584	897	636
585	898	634
586	899	632
587	900	630
588	901	629
589	902	627
590	903	625
591	904	623
592	905	621
593	906	619
594	907	617
595	908	615
596	908	613
597	909	611
598	910	609
599	911	607
600	912	605
601	913	603
602	913	601
603	914	599
604	916	598
605	917	596
606	918	594
607	919	592
608	920	590
609	921	588
610	921	586
611	922	584
612	923	583
613	924	581
614	925	579
615	926	577
616	926	575
617	927	573
618	928	571
619	929	569
620	931	568
621	933	567
622	934	565
623	935	563
624	936	561
625	937	560
626	938	558
627	939	556
628	940	554
629	940	552
630	941	550
631	942	548
632	943	546
633	944	545
634	946	544
635	947	542
636	948	540
637	949	538
638	953	538
639	954	536
640	955	535
641	956	533
642	957	531
643	958	529
644	961	529
645	962	527
646	963	525
647	964	524
648	966	522
649	968	521
650	969	519
651	970	517
652	971	516
653	972	514
654	975	513
655	976	512
656	977	510
657	978	508
658	980	507
659	981	505
660	982	503
661	983	501
662	984	500
663	985	498
664	986	496
665	987	494
666	989	493
667	990	492
668	992	490
669	993	489
670	994	487
671	995	485
672	996	484
673	997	482
674	998	480
675	999	479
676	1000	477
677	1001	475
678	1004	474
679	1005	473
680	1006	471
681	1007	469
682	1008	468
683	1009	466
684	1010	464
685	1011	463
686	1013	461
687	1014	459
688	1015	458
689	1016	456
690	1019	455
691	1020	454
692	1021	452
693	1022	450
694	1023	449
695	1024	447
696	1025	445
697	1026	444
698	1027	442
699	1028	440
700	1029	439
701	1030	437
702	1031	435
703	1033	434
704	1034	433
705	1036	431
706	1037	430
707	1038	428
708	1039	426
709	1040	425
710	1041	423
711	1042	421
712	1043	420
713	1045	418
714	1046	417
715	1047	415
716	1048	413
717	1049	412
718	1050	410
719	1051	409
720	1052	407
721	1053	405
722	1054	404
723	1055	402
724	1056	400
725	1057	399
726	1060	398
727	1061	396
728	1062	395
729	1063	393
730	1064	391
731	1066	390
732	1067	388
733	1068	387
734	1069	385
735	1070	384
736	1071	382
737	1072	380
738	1075	379
739	1076	378
740	1077	376
741	1078	375
742	1080	373
743	1081	371
744	1081	370
745	1082	368
746	1083	367
747	1084	365
748	1085	363
749	1086	362
750	1087	360
751	1090	359
752	1092	358
753	1093	356
754	1094	355
755	1095	353
756	1095	351
757	1096	350
758	1097	348
759	1098	346
760	1099	345
761	1100	343
762	1101	342
763	1102	340
764	1104	339
765	1106	338
766	1107	336
767	1108	334
768	1109	333
769	1110	331
770	1111	330
771	1113	328
772	1114	327
773	1115	325
774	1116	324
775	1117	322
776	1121	321
777	1122	320
778	1124	318
779	1125	317
780	1128	316
781	1129	314
782	1130	313
783	1132	311
784	1136	311
785	1138	309
786	1140	308
787	1143	307
788	1144	306
789	1145	304
790	1146	302
791	1147	301
792	1150	300
793	1151	298
794	1152	297
795	1153	295
796	1155	294
797	1157	292
798	1158	291
799	1159	289
800	1160	288
801	1161	286
802	1162	285
803	1163	283
804	1166	282
805	1167	281
806	1169	279
807	1170	278
808	1171	276
809	1173	275
810	1173	273
811	1174	271
812	1175	270
813	1176	268
814	1177	267
815	1179	265
816	1181	264
817	1183	263
818	1184	261
819	1185	260
820	1186	258
821	1188	257
822	1190	255
823	1191	254
824	1194	253
825	1195	251
826	1196	250
827	1197	248
828	1198	247
829	1201	246
830	1202	244
831	1203	242
832	1204	241
833	1204	239
834	1206	238
835	1207	236
836	1209	235
837	1210	234
838	1211	232
839	1212	230
840	1213	229
841	1217	228
842	1218	226
843	1219	225
844	1221	224
845	1223	222
846	1224	221
847	1225	219
848	1226	218
849	1229	217
850	1230	215
851	1231	213
852	1232	212
853	1233	210
854	1235	209
855	1237	208
856	1239	206
857	1240	205
858	1242	203
859	1244	202
860	1245	201
861	1245	199
862	1246	197
863	1248	196
864	1249	195
865	1252	193
866	1253	192
867	1254	190
868	1255	189
869	1256	187
870	1258	186
871	1259	184
872	1260	183
873	1261	181
874	1262	180
875	1263	178
876	1266	177
877	1267	176
878	1269	174
879	1270	173
880	1271	171
881	1271	170
882	1272	168
883	1273	167
884	1274	165
885	1275	164
886	1276	162
887	1277	161
888	1278	159
889	1282	158
890	1283	157
891	1284	155
892	1285	154
893	1287	152
894	1288	151
895	1289	149
896	1289	148
897	1290	146
898	1291	145
899	1292	143
900	1293	142
901	1294	140
902	1297	139
903	1299	137
904	1300	136
905	1301	135
906	1303	133
907	1304	132
908	1305	130
909	1306	129
910	1313	128
911	1314	126
912	1315	125
913	1316	123
914	1318	122
915	1319	120
916	1320	119
917	1320	117
918	1321	116
919	1322	115
920	1325	113
921	1327	112
922	1328	110
923	1329	109
924	1330	107
925	1331	106
926	1332	104
927	1333	103
928	1333	101
929	1334	100
930	1335	98
931	1336	97
932	1337	96
933	1339	94
934	1341	93
935	1343	91
936	1345	90
937	1346	88
938	1347	87
939	1349	86
940	1351	84
941	1353	83
942	1355	81
943	1357	80
944	1359	79
945	1360	77
946	1361	76
947	1363	74
948	1364	73
949	1365	71
950	1366	70
951	1367	68
952	1370	67
953	1371	66
954	1372	64
955	1373	63
956	1374	61
957	1375	60
958	1376	58
959	1377	57
960	1378	55
961	1379	54
962	1380	53
963	1380	51
964	1385	50
965	1386	48
966	1387	47
967	1388	45
968	1389	44
969	1391	43
970	1392	41
971	1393	40
972	1394	38
973	1399	37
974	1402	35
975	1403	34
976	1405	33
977	1406	31
978	1407	30
979	1408	28
980	1409	27
981	1410	25
982	1413	24
983	1415	23
984	1415	21
985	1417	20
986	1418	18
987	1420	17
988	1422	15
989	1423	14
990	1424	12
991	1425	11
992	1432	10
993	1434	8
994	1435	7
995	1436	5
996	1437	4
997	1439	2
998	1443	1
999	1445	0
